ID_Evenement;Horodatage;IP_Source;IP_Destination;Utilisateur;Type_Evenement;Severite;Statut;Description
EVT-100022;2026-09-09 12:46:48;8.8.8.8;10.0.1.100;asmith;File Download;Low;Success;Standard asset download
EVT-100023;2026-09-09 12:00:07;203.0.113.105;10.0.1.100;unauthenticated;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100024;2026-09-09 12:54:40;172.16.25.4;10.0.1.100;asmith;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100025;2026-09-09 13:21:34;185.220.101.5;10.0.1.100;admin;XSS Attack;High;Mitigated;Stored XSS payload filtered in comment form
EVT-100026;2026-09-09 11:57:40;203.0.113.105;10.0.1.100;root;Brute Force Attempt;High;Blocked;Multiple failed login attempts detected
EVT-100027;2026-09-09 11:47:58;8.8.8.8;10.0.1.100;system_service;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100028;2026-09-09 13:39:44;172.16.25.4;10.0.1.100;jdoe;File Download;Low;Success;Standard asset download
EVT-100029;2026-09-09 13:46:20;45.227.254.12;10.0.1.100;unauthenticated;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100030;2026-09-09 12:49:04;185.220.101.5;10.0.1.100;root;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100031;2026-09-09 11:34:45;172.16.25.4;10.0.1.100;asmith;File Download;Low;Success;Standard asset download
EVT-100032;2026-09-09 12:03:12;45.227.254.12;10.0.1.100;root;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100033;2026-09-09 13:19:37;203.0.113.105;10.0.1.100;admin;XSS Attack;High;Mitigated;Stored XSS payload filtered in comment form
EVT-100034;2026-09-09 13:56:24;192.168.1.50;10.0.1.100;jdoe;Successful Login;Low;Success;User login authenticated
EVT-100035;2026-09-09 13:06:29;10.0.0.12;10.0.1.100;jdoe;Successful Login;Low;Success;User login authenticated
EVT-100036;2026-09-09 14:29:04;192.168.1.50;10.0.1.100;jdoe;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100037;2026-09-09 11:56:49;13.233.42.11;10.0.1.100;asmith;File Download;Low;Success;Standard asset download
EVT-100038;2026-09-09 14:09:18;91.241.19.83;10.0.1.100;root;XSS Attack;High;Mitigated;Stored XSS payload filtered in comment form
EVT-100039;2026-09-09 14:31:04;91.241.19.83;10.0.1.100;unknown;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100040;2026-09-09 14:39:44;10.0.0.12;10.0.1.100;mdupont;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100041;2026-09-09 13:46:25;8.8.8.8;10.0.1.100;system_service;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100042;2026-09-09 13:04:16;203.0.113.105;10.0.1.100;admin;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100043;2026-09-09 11:43:24;13.233.42.11;10.0.1.100;asmith;Successful Login;Low;Success;User login authenticated
EVT-100044;2026-09-09 11:38:36;192.168.1.50;10.0.1.100;jdoe;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100045;2026-09-09 12:02:04;192.168.1.50;10.0.1.100;mdupont;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100046;2026-09-09 14:58:22;203.0.113.105;10.0.1.100;unauthenticated;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100047;2026-09-09 13:02:17;13.233.42.11;10.0.1.100;asmith;File Download;Low;Success;Standard asset download
EVT-100048;2026-09-09 13:16:16;8.8.8.8;10.0.1.100;system_service;File Download;Low;Success;Standard asset download
EVT-100049;2026-09-09 12:16:26;192.168.1.50;10.0.1.100;system_service;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100050;2026-09-09 14:37:24;8.8.8.8;10.0.1.100;system_service;Successful Login;Low;Success;User login authenticated
EVT-100051;2026-09-09 12:20:04;198.51.100.42;10.0.1.100;unknown;Brute Force Attempt;High;Blocked;Multiple failed login attempts detected
EVT-100052;2026-09-09 12:25:24;10.0.0.12;10.0.1.100;asmith;Successful Login;Low;Success;User login authenticated
EVT-100053;2026-09-09 15:39:56;8.8.8.8;10.0.1.100;asmith;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100054;2026-09-09 13:01:46;172.16.25.4;10.0.1.100;system_service;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100055;2026-09-09 12:13:04;8.8.8.8;10.0.1.100;jdoe;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100056;2026-09-09 15:56:00;198.51.100.42;10.0.1.100;admin;Brute Force Attempt;High;Blocked;Multiple failed login attempts detected
EVT-100057;2026-09-09 12:59:19;8.8.8.8;10.0.1.100;system_service;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100058;2026-09-09 13:24:06;8.8.8.8;10.0.1.100;jdoe;File Download;Low;Success;Standard asset download
EVT-100059;2026-09-09 14:49:40;198.51.100.42;10.0.1.100;unknown;XSS Attack;High;Mitigated;Stored XSS payload filtered in comment form
EVT-100060;2026-09-09 15:31:04;45.227.254.12;10.0.1.100;unknown;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100061;2026-09-09 15:52:23;203.0.113.105;10.0.1.100;root;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100062;2026-09-09 13:34:06;198.51.100.42;10.0.1.100;admin;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100063;2026-09-09 12:10:01;192.168.1.50;10.0.1.100;system_service;Successful Login;Low;Success;User login authenticated
EVT-100064;2026-09-09 16:28:48;203.0.113.105;10.0.1.100;admin;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100065;2026-09-09 12:24:19;203.0.113.105;10.0.1.100;admin;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100066;2026-09-09 13:52:04;185.220.101.5;10.0.1.100;admin;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100067;2026-09-09 12:02:34;13.233.42.11;10.0.1.100;jdoe;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100068;2026-09-09 17:07:56;13.233.42.11;10.0.1.100;mdupont;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100069;2026-09-09 13:40:10;45.227.254.12;10.0.1.100;root;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100070;2026-09-09 15:36:24;203.0.113.105;10.0.1.100;unauthenticated;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100071;2026-09-09 14:51:25;192.168.1.50;10.0.1.100;jdoe;File Download;Low;Success;Standard asset download
EVT-100072;2026-09-09 17:26:40;192.168.1.50;10.0.1.100;jdoe;File Download;Low;Success;Standard asset download
EVT-100073;2026-09-09 13:53:51;91.241.19.83;10.0.1.100;unauthenticated;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100074;2026-09-09 15:20:56;198.51.100.42;10.0.1.100;root;XSS Attack;High;Mitigated;Stored XSS payload filtered in comment form
EVT-100075;2026-09-09 14:42:49;10.0.0.12;10.0.1.100;system_service;Successful Login;Low;Success;User login authenticated
EVT-100076;2026-09-09 14:56:48;91.241.19.83;10.0.1.100;admin;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100077;2026-09-09 14:58:15;198.51.100.42;10.0.1.100;root;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100078;2026-09-09 12:58:46;198.51.100.42;10.0.1.100;root;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100079;2026-09-09 14:51:50;91.241.19.83;10.0.1.100;root;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100080;2026-09-09 14:01:04;172.16.25.4;10.0.1.100;system_service;Successful Login;Low;Success;User login authenticated
EVT-100081;2026-09-09 12:17:40;198.51.100.42;10.0.1.100;unknown;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100082;2026-09-09 12:12:48;198.51.100.42;10.0.1.100;unauthenticated;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100083;2026-09-09 14:48:16;203.0.113.105;10.0.1.100;unknown;XSS Attack;High;Mitigated;Stored XSS payload filtered in comment form
EVT-100084;2026-09-09 16:48:16;91.241.19.83;10.0.1.100;admin;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100085;2026-09-09 12:37:04;203.0.113.105;10.0.1.100;admin;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100086;2026-09-09 18:27:36;10.0.0.12;10.0.1.100;system_service;Successful Login;Low;Success;User login authenticated
EVT-100087;2026-09-09 12:14:01;45.227.254.12;10.0.1.100;unauthenticated;XSS Attack;High;Mitigated;Stored XSS payload filtered in comment form
EVT-100088;2026-09-09 16:12:08;203.0.113.105;10.0.1.100;root;Brute Force Attempt;High;Blocked;Multiple failed login attempts detected
EVT-100089;2026-09-09 16:12:23;91.241.19.83;10.0.1.100;unknown;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100090;2026-09-09 14:45:34;203.0.113.105;10.0.1.100;root;XSS Attack;High;Mitigated;Stored XSS payload filtered in comment form
EVT-100091;2026-09-09 12:02:26;10.0.0.12;10.0.1.100;mdupont;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100092;2026-09-09 14:59:08;172.16.25.4;10.0.1.100;asmith;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100093;2026-09-09 16:46:49;198.51.100.42;10.0.1.100;unknown;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100094;2026-09-09 14:24:32;8.8.8.8;10.0.1.100;mdupont;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100095;2026-09-09 14:48:34;203.0.113.105;10.0.1.100;admin;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100096;2026-09-09 17:11:28;172.16.25.4;10.0.1.100;mdupont;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100097;2026-09-09 15:34:48;45.227.254.12;10.0.1.100;unknown;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100098;2026-09-09 16:21:26;198.51.100.42;10.0.1.100;admin;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100099;2026-09-09 14:15:43;91.241.19.83;10.0.1.100;unauthenticated;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100100;2026-09-09 13:17:24;91.241.19.83;10.0.1.100;unknown;Brute Force Attempt;High;Blocked;Multiple failed login attempts detected
EVT-100101;2026-09-09 16:15:14;8.8.8.8;10.0.1.100;jdoe;Successful Login;Low;Success;User login authenticated
EVT-100102;2026-09-09 14:30:58;172.16.25.4;10.0.1.100;jdoe;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100103;2026-09-09 11:46:14;13.233.42.11;10.0.1.100;asmith;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100104;2026-09-09 18:07:44;192.168.1.50;10.0.1.100;mdupont;Successful Login;Low;Success;User login authenticated
EVT-100105;2026-09-09 13:36:49;172.16.25.4;10.0.1.100;mdupont;Successful Login;Low;Success;User login authenticated
EVT-100106;2026-09-09 16:41:46;8.8.8.8;10.0.1.100;mdupont;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100107;2026-09-09 13:42:49;203.0.113.105;10.0.1.100;unknown;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100108;2026-09-09 14:27:16;13.233.42.11;10.0.1.100;mdupont;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100109;2026-09-09 20:15:54;192.168.1.50;10.0.1.100;mdupont;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100110;2026-09-09 15:03:34;185.220.101.5;10.0.1.100;unauthenticated;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100111;2026-09-09 18:45:40;8.8.8.8;10.0.1.100;asmith;File Download;Low;Success;Standard asset download
EVT-100112;2026-09-09 19:19:28;203.0.113.105;10.0.1.100;admin;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100113;2026-09-09 20:03:13;91.241.19.83;10.0.1.100;unauthenticated;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100114;2026-09-09 15:36:04;45.227.254.12;10.0.1.100;root;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100115;2026-09-09 14:11:59;192.168.1.50;10.0.1.100;jdoe;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100116;2026-09-09 19:38:12;13.233.42.11;10.0.1.100;jdoe;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100117;2026-09-09 18:41:58;13.233.42.11;10.0.1.100;asmith;File Download;Low;Success;Standard asset download
EVT-100118;2026-09-09 20:06:18;8.8.8.8;10.0.1.100;asmith;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100119;2026-09-09 11:52:52;198.51.100.42;10.0.1.100;unknown;XSS Attack;High;Mitigated;Stored XSS payload filtered in comment form
EVT-100120;2026-09-09 14:49:04;13.233.42.11;10.0.1.100;system_service;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100121;2026-09-09 21:23:59;203.0.113.105;10.0.1.100;admin;Brute Force Attempt;High;Blocked;Multiple failed login attempts detected
EVT-100122;2026-09-09 14:07:40;8.8.8.8;10.0.1.100;mdupont;File Download;Low;Success;Standard asset download
EVT-100123;2026-09-09 20:38:28;8.8.8.8;10.0.1.100;system_service;File Download;Low;Success;Standard asset download
EVT-100124;2026-09-09 20:11:56;185.220.101.5;10.0.1.100;unauthenticated;XSS Attack;High;Mitigated;Stored XSS payload filtered in comment form
EVT-100125;2026-09-09 16:43:39;13.233.42.11;10.0.1.100;system_service;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100126;2026-09-09 16:44:04;8.8.8.8;10.0.1.100;jdoe;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100127;2026-09-09 16:04:14;45.227.254.12;10.0.1.100;unauthenticated;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100128;2026-09-09 21:39:12;192.168.1.50;10.0.1.100;asmith;Successful Login;Low;Success;User login authenticated
EVT-100129;2026-09-09 16:04:16;185.220.101.5;10.0.1.100;root;XSS Attack;High;Mitigated;Stored XSS payload filtered in comment form
EVT-100130;2026-09-09 13:00:04;8.8.8.8;10.0.1.100;system_service;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100131;2026-09-09 21:55:41;8.8.8.8;10.0.1.100;system_service;Successful Login;Low;Success;User login authenticated
EVT-100132;2026-09-09 15:42:04;185.220.101.5;10.0.1.100;unknown;Brute Force Attempt;High;Blocked;Multiple failed login attempts detected
EVT-100133;2026-09-09 19:01:16;185.220.101.5;10.0.1.100;admin;Brute Force Attempt;High;Blocked;Multiple failed login attempts detected
EVT-100134;2026-09-09 17:30:52;8.8.8.8;10.0.1.100;system_service;Successful Login;Low;Success;User login authenticated
EVT-100135;2026-09-09 22:19:19;91.241.19.83;10.0.1.100;root;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100136;2026-09-09 16:05:36;172.16.25.4;10.0.1.100;system_service;File Download;Low;Success;Standard asset download
EVT-100137;2026-09-09 12:23:52;8.8.8.8;10.0.1.100;mdupont;File Download;Low;Success;Standard asset download
EVT-100138;2026-09-09 15:05:16;8.8.8.8;10.0.1.100;asmith;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100139;2026-09-09 12:22:21;185.220.101.5;10.0.1.100;admin;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100140;2026-09-09 20:23:24;203.0.113.105;10.0.1.100;unknown;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100141;2026-09-09 12:51:19;45.227.254.12;10.0.1.100;unknown;XSS Attack;High;Mitigated;Stored XSS payload filtered in comment form
EVT-100142;2026-09-09 16:08:20;8.8.8.8;10.0.1.100;mdupont;Successful Login;Low;Success;User login authenticated
EVT-100143;2026-09-09 19:35:16;172.16.25.4;10.0.1.100;system_service;Successful Login;Low;Success;User login authenticated
EVT-100144;2026-09-09 13:31:28;185.220.101.5;10.0.1.100;admin;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100145;2026-09-09 12:56:04;45.227.254.12;10.0.1.100;root;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100146;2026-09-09 12:42:04;198.51.100.42;10.0.1.100;root;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100147;2026-09-09 12:18:04;13.233.42.11;10.0.1.100;asmith;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100148;2026-09-09 14:31:36;8.8.8.8;10.0.1.100;jdoe;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100149;2026-09-09 21:44:56;172.16.25.4;10.0.1.100;mdupont;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100150;2026-09-09 14:19:04;203.0.113.105;10.0.1.100;unauthenticated;XSS Attack;High;Mitigated;Stored XSS payload filtered in comment form
EVT-100151;2026-09-09 12:26:57;45.227.254.12;10.0.1.100;unknown;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100152;2026-09-09 16:10:16;192.168.1.50;10.0.1.100;asmith;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100153;2026-09-09 18:27:16;91.241.19.83;10.0.1.100;admin;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100154;2026-09-09 19:29:02;91.241.19.83;10.0.1.100;unknown;Brute Force Attempt;High;Blocked;Multiple failed login attempts detected
EVT-100155;2026-09-09 13:25:19;13.233.42.11;10.0.1.100;mdupont;Successful Login;Low;Success;User login authenticated
EVT-100156;2026-09-09 21:14:04;185.220.101.5;10.0.1.100;admin;Brute Force Attempt;High;Blocked;Multiple failed login attempts detected
EVT-100157;2026-09-09 19:59:19;8.8.8.8;10.0.1.100;asmith;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100158;2026-09-09 15:52:24;13.233.42.11;10.0.1.100;mdupont;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100159;2026-09-09 22:50:07;185.220.101.5;10.0.1.100;unknown;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100160;2026-09-09 19:15:44;203.0.113.105;10.0.1.100;admin;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100161;2026-09-09 22:13:04;203.0.113.105;10.0.1.100;unknown;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100162;2026-09-09 19:40:28;192.168.1.50;10.0.1.100;system_service;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100163;2026-09-09 16:08:53;8.8.8.8;10.0.1.100;asmith;Successful Login;Low;Success;User login authenticated
EVT-100164;2026-09-09 17:57:12;172.16.25.4;10.0.1.100;mdupont;Successful Login;Low;Success;User login authenticated
EVT-100165;2026-09-10 00:57:34;198.51.100.42;10.0.1.100;root;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100166;2026-09-09 17:37:02;185.220.101.5;10.0.1.100;unknown;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100167;2026-09-09 17:39:15;185.220.101.5;10.0.1.100;unknown;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100168;2026-09-09 12:19:28;192.168.1.50;10.0.1.100;mdupont;File Download;Low;Success;Standard asset download
EVT-100169;2026-09-09 21:40:17;10.0.0.12;10.0.1.100;mdupont;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100170;2026-09-09 23:23:04;13.233.42.11;10.0.1.100;mdupont;Successful Login;Low;Success;User login authenticated
EVT-100171;2026-09-10 01:18:25;172.16.25.4;10.0.1.100;mdupont;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100172;2026-09-09 18:33:20;172.16.25.4;10.0.1.100;mdupont;File Download;Low;Success;Standard asset download
EVT-100173;2026-09-09 14:53:47;10.0.0.12;10.0.1.100;mdupont;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100174;2026-09-10 01:12:40;203.0.113.105;10.0.1.100;root;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100175;2026-09-09 23:58:39;172.16.25.4;10.0.1.100;mdupont;Port Scan;Medium;Logged;Reconnaissance activity from single source IP
EVT-100176;2026-09-09 16:48:48;45.227.254.12;10.0.1.100;root;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100177;2026-09-09 16:27:01;172.16.25.4;10.0.1.100;jdoe;Successful Login;Low;Success;User login authenticated
EVT-100178;2026-09-09 15:08:36;45.227.254.12;10.0.1.100;admin;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100179;2026-09-10 02:03:11;45.227.254.12;10.0.1.100;root;Brute Force Attempt;High;Blocked;Multiple failed login attempts detected
EVT-100180;2026-09-09 14:35:04;192.168.1.50;10.0.1.100;mdupont;File Download;Low;Success;Standard asset download
EVT-100181;2026-09-10 00:18:19;8.8.8.8;10.0.1.100;mdupont;File Download;Low;Success;Standard asset download
EVT-100182;2026-09-09 13:18:16;45.227.254.12;10.0.1.100;unknown;XSS Attack;High;Mitigated;Stored XSS payload filtered in comment form
EVT-100183;2026-09-09 13:40:13;185.220.101.5;10.0.1.100;unknown;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100184;2026-09-09 13:22:32;203.0.113.105;10.0.1.100;root;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100185;2026-09-09 14:12:29;203.0.113.105;10.0.1.100;admin;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100186;2026-09-09 23:00:22;91.241.19.83;10.0.1.100;root;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100187;2026-09-09 22:04:52;185.220.101.5;10.0.1.100;unknown;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100188;2026-09-09 23:26:36;45.227.254.12;10.0.1.100;admin;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100189;2026-09-09 17:34:28;203.0.113.105;10.0.1.100;unauthenticated;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100190;2026-09-09 16:14:04;203.0.113.105;10.0.1.100;root;SQL Injection;Critical;Blocked;Malicious SQL patterns detected in URL query
EVT-100191;2026-09-09 14:01:52;203.0.113.105;10.0.1.100;admin;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100192;2026-09-10 00:17:04;13.233.42.11;10.0.1.100;system_service;Failed Login;Medium;Failed;Invalid credentials provided
EVT-100193;2026-09-09 12:52:42;203.0.113.105;10.0.1.100;unauthenticated;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100194;2026-09-10 00:31:32;198.51.100.42;10.0.1.100;root;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100195;2026-09-09 17:29:49;185.220.101.5;10.0.1.100;admin;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100196;2026-09-09 18:17:24;203.0.113.105;10.0.1.100;unauthenticated;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
EVT-100197;2026-09-09 14:00:06;198.51.100.42;10.0.1.100;root;XSS Attack;High;Mitigated;Stored XSS payload filtered in comment form
EVT-100198;2026-09-09 20:07:10;185.220.101.5;10.0.1.100;admin;DDoS Traffic Spike;Critical;Mitigated;Anomalous high volume of requests from botnet IPs
EVT-100199;2026-09-09 20:36:19;8.8.8.8;10.0.1.100;mdupont;File Download;Low;Success;Standard asset download
EVT-100200;2026-09-10 03:22:24;185.220.101.5;10.0.1.100;unknown;Privilege Escalation;Critical;Blocked;Unauthorized sudo command execution attempt
