ID_Produit;Nom_Produit;Categorie;Sous_Categorie;Prix_Unitaire_ECO;Quantite_Stock;Score_Avis;Statut_Disponibilite;Date_Ajout
PROD-1025;Vélo de ville EcoHome v4;Sports & Loisirs;Vélo de ville;11.22;15;3.6;Stock faible;2025-11-09
PROD-1026;Machine à café AuraStyle v5;Maison & Cuisine;Machine à café;700.69;54;4.0;En stock;2025-02-20
PROD-1027;Veste EcoHome v4;Mode & Vêtements;Veste;753.6;11;3.9;Stock faible;2025-08-19
PROD-1028;Veste AuraStyle v2;Mode & Vêtements;Veste;883.36;149;4.8;En stock;2025-05-21
PROD-1029;Machine à café PrimeGoods v5;Maison & Cuisine;Machine à café;607.51;134;3.7;En stock;2026-01-08
PROD-1030;Vélo de ville AuraStyle v3;Sports & Loisirs;Vélo de ville;71.53;62;4.8;En stock;2025-05-07
PROD-1031;Trousse de maquillage NovaLife v2;Beauté & Santé;Trousse de maquillage;794.08;94;4.2;En stock;2025-10-04
PROD-1032;Parfum NovaLife v1;Beauté & Santé;Parfum;650.73;85;4.6;En stock;2025-09-30
PROD-1033;Montre connectée AuraStyle v3;Électronique;Montre connectée;353.6;219;3.6;En stock;2025-05-03
PROD-1034;Écouteurs PrimeGoods v4;Électronique;Écouteurs;346.33;56;4.0;En stock;2026-05-03
PROD-1035;Baskets EcoHome v2;Mode & Vêtements;Baskets;875.61;60;3.9;En stock;2025-08-23
PROD-1036;Poêle TechCorp v3;Maison & Cuisine;Poêle;894.95;203;4.1;En stock;2025-12-22
PROD-1037;Sèche-cheveux TechCorp v2;Beauté & Santé;Sèche-cheveux;31.18;159;4.8;En stock;2025-09-17
PROD-1038;Jean NovaLife v4;Mode & Vêtements;Jean;824.35;166;4.7;En stock;2025-03-21
PROD-1039;T-shirt PrimeGoods v1;Mode & Vêtements;T-shirt;558.25;77;3.8;En stock;2026-02-03
PROD-1040;Sac à dos AuraStyle v1;Sports & Loisirs;Sac à dos;570.12;250;3.7;En stock;2025-02-07
PROD-1041;Haltères TechCorp v1;Sports & Loisirs;Haltères;383.05;47;4.4;En stock;2025-05-31
PROD-1042;Machine à café EcoHome v2;Maison & Cuisine;Machine à café;646.57;144;4.1;En stock;2025-06-17
PROD-1043;Brosse à dents électrique AuraStyle v1;Beauté & Santé;Brosse à dents électrique;657.88;206;4.7;En stock;2025-09-11
PROD-1044;Haltères FitGear v3;Sports & Loisirs;Haltères;50.31;92;4.8;En stock;2025-02-04
PROD-1045;Tablette EcoHome v2;Électronique;Tablette;245.75;138;4.4;En stock;2025-09-07
PROD-1046;Gourde FitGear v4;Sports & Loisirs;Gourde;127.37;97;4.4;En stock;2025-05-04
PROD-1047;Machine à café TechCorp v2;Maison & Cuisine;Machine à café;427.05;175;3.6;En stock;2025-05-03
PROD-1048;Mélangeur PrimeGoods v1;Maison & Cuisine;Mélangeur;463.73;143;3.7;En stock;2026-05-05
PROD-1049;Baskets PrimeGoods v1;Mode & Vêtements;Baskets;26.32;84;3.8;En stock;2026-04-16
PROD-1050;Machine à café AuraStyle v2;Maison & Cuisine;Machine à café;379.28;131;4.2;En stock;2025-01-03
PROD-1051;Machine à café PrimeGoods v5;Maison & Cuisine;Machine à café;17.8;208;3.5;En stock;2025-08-26
PROD-1052;Sac à dos FitGear v4;Sports & Loisirs;Sac à dos;622.0;220;4.8;En stock;2026-01-24
PROD-1053;Veste AuraStyle v4;Mode & Vêtements;Veste;337.06;202;3.8;En stock;2026-01-09
PROD-1054;T-shirt PrimeGoods v5;Mode & Vêtements;T-shirt;270.94;209;4.1;En stock;2025-04-06
PROD-1055;Mélangeur AuraStyle v1;Maison & Cuisine;Mélangeur;835.73;36;3.8;En stock;2025-01-06
PROD-1056;Parfum AuraStyle v4;Beauté & Santé;Parfum;856.87;89;4.7;En stock;2025-11-25
PROD-1057;T-shirt TechCorp v5;Mode & Vêtements;T-shirt;185.04;228;3.9;En stock;2026-03-09
PROD-1058;Crème hydratante FitGear v2;Beauté & Santé;Crème hydratante;516.82;213;4.4;En stock;2025-08-03
PROD-1059;Parfum FitGear v4;Beauté & Santé;Parfum;796.49;101;5.0;En stock;2025-08-24
PROD-1060;Ordinateur NovaLife v4;Électronique;Ordinateur;384.84;49;4.3;En stock;2025-01-25
PROD-1061;Jean TechCorp v3;Mode & Vêtements;Jean;595.89;248;4.8;En stock;2025-12-10
PROD-1062;Veste FitGear v1;Mode & Vêtements;Veste;897.03;234;4.6;En stock;2025-11-21
PROD-1063;Crème hydratante PrimeGoods v3;Beauté & Santé;Crème hydratante;852.14;8;3.7;Stock faible;2025-07-13
PROD-1064;Jean PrimeGoods v5;Mode & Vêtements;Jean;554.47;186;3.5;En stock;2025-12-01
PROD-1065;Brosse à dents électrique FitGear v1;Beauté & Santé;Brosse à dents électrique;202.87;105;4.2;En stock;2026-02-19
PROD-1066;Veste EcoHome v3;Mode & Vêtements;Veste;857.23;57;4.8;En stock;2025-10-17
PROD-1067;Brosse à dents électrique AuraStyle v1;Beauté & Santé;Brosse à dents électrique;896.89;231;5.0;En stock;2026-02-08
PROD-1068;Jean EcoHome v4;Mode & Vêtements;Jean;188.13;139;4.9;En stock;2025-11-25
PROD-1069;Mélangeur AuraStyle v3;Maison & Cuisine;Mélangeur;106.03;13;4.4;Stock faible;2025-01-27
PROD-1070;Sac à dos FitGear v3;Sports & Loisirs;Sac à dos;781.05;109;5.0;En stock;2026-04-23
PROD-1071;Smartphone TechCorp v5;Électronique;Smartphone;65.7;168;3.6;En stock;2026-04-20
PROD-1072;Parfum AuraStyle v4;Beauté & Santé;Parfum;168.09;83;4.7;En stock;2026-02-18
PROD-1073;Jean FitGear v1;Mode & Vêtements;Jean;738.07;45;3.9;En stock;2025-02-14
PROD-1074;Tapis de course TechCorp v3;Sports & Loisirs;Tapis de course;535.43;109;4.1;En stock;2025-08-04
PROD-1075;Ordinateur AuraStyle v4;Électronique;Ordinateur;867.99;140;4.2;En stock;2025-10-11
PROD-1076;Brosse à dents électrique FitGear v3;Beauté & Santé;Brosse à dents électrique;88.49;80;3.9;En stock;2025-09-02
PROD-1077;Trousse de maquillage FitGear v3;Beauté & Santé;Trousse de maquillage;527.54;76;4.1;En stock;2025-08-11
PROD-1078;Sac à dos TechCorp v5;Sports & Loisirs;Sac à dos;786.47;62;4.5;En stock;2026-03-06
PROD-1079;Sac à dos NovaLife v1;Sports & Loisirs;Sac à dos;271.15;191;4.4;En stock;2025-11-30
PROD-1080;Crème hydratante FitGear v3;Beauté & Santé;Crème hydratante;675.21;87;4.9;En stock;2025-01-05
PROD-1081;Aspirateur FitGear v2;Maison & Cuisine;Aspirateur;49.84;81;3.8;En stock;2025-03-07
PROD-1082;Poêle EcoHome v5;Maison & Cuisine;Poêle;872.99;194;4.9;En stock;2025-11-25
PROD-1083;Brosse à dents électrique PrimeGoods v2;Beauté & Santé;Brosse à dents électrique;457.51;36;4.7;En stock;2026-04-21
PROD-1084;Parfum NovaLife v1;Beauté & Santé;Parfum;864.97;49;4.2;En stock;2025-10-29
PROD-1085;Vélo de ville EcoHome v4;Sports & Loisirs;Vélo de ville;291.52;247;4.9;En stock;2026-04-24
PROD-1086;Jean FitGear v3;Mode & Vêtements;Jean;261.71;224;5.0;En stock;2025-07-11
PROD-1087;Veste AuraStyle v2;Mode & Vêtements;Veste;173.36;232;4.7;En stock;2025-09-17
PROD-1088;Crème hydratante NovaLife v3;Beauté & Santé;Crème hydratante;563.23;112;4.9;En stock;2025-09-12
PROD-1089;Jean AuraStyle v5;Mode & Vêtements;Jean;332.69;234;4.7;En stock;2025-06-13
PROD-1090;Sèche-cheveux PrimeGoods v4;Beauté & Santé;Sèche-cheveux;773.66;12;4.6;Stock faible;2025-07-26
PROD-1091;Robe FitGear v5;Mode & Vêtements;Robe;145.41;147;4.7;En stock;2025-06-10
PROD-1092;Aspirateur PrimeGoods v2;Maison & Cuisine;Aspirateur;540.26;235;4.3;En stock;2025-03-21
PROD-1093;Trousse de maquillage NovaLife v5;Beauté & Santé;Trousse de maquillage;227.45;199;3.9;En stock;2025-08-03
PROD-1094;Tablette AuraStyle v4;Électronique;Tablette;782.76;234;4.0;En stock;2025-03-15
PROD-1095;Jean AuraStyle v1;Mode & Vêtements;Jean;836.65;143;4.1;En stock;2026-05-15
PROD-1096;Machine à café TechCorp v3;Maison & Cuisine;Machine à café;568.34;177;4.8;En stock;2025-07-13
PROD-1097;Machine à café EcoHome v2;Maison & Cuisine;Machine à café;271.21;202;3.6;En stock;2025-07-20
PROD-1098;Baskets PrimeGoods v3;Mode & Vêtements;Baskets;256.15;136;4.0;En stock;2025-09-18
PROD-1099;Crème hydratante PrimeGoods v5;Beauté & Santé;Crème hydratante;208.22;141;3.8;En stock;2026-04-22
PROD-1100;Lampe de bureau EcoHome v2;Maison & Cuisine;Lampe de bureau;434.12;14;4.5;Stock faible;2026-02-01
PROD-1101;Tapis de course TechCorp v4;Sports & Loisirs;Tapis de course;232.18;134;4.7;En stock;2026-04-11
PROD-1102;Baskets TechCorp v4;Mode & Vêtements;Baskets;457.81;8;4.0;Stock faible;2025-11-21
PROD-1103;Veste FitGear v2;Mode & Vêtements;Veste;371.7;184;4.2;En stock;2025-11-18
PROD-1104;Tablette FitGear v3;Électronique;Tablette;571.38;53;4.0;En stock;2025-06-20
PROD-1105;Machine à café TechCorp v4;Maison & Cuisine;Machine à café;207.06;111;4.2;En stock;2025-05-04
PROD-1106;Baskets EcoHome v2;Mode & Vêtements;Baskets;778.3;68;4.4;En stock;2026-03-24
PROD-1107;Haltères TechCorp v1;Sports & Loisirs;Haltères;836.21;163;4.9;En stock;2025-07-21
PROD-1108;Haltères EcoHome v2;Sports & Loisirs;Haltères;798.63;154;4.2;En stock;2025-11-17
PROD-1109;Sèche-cheveux AuraStyle v1;Beauté & Santé;Sèche-cheveux;100.57;243;5.0;En stock;2025-07-13
PROD-1110;T-shirt TechCorp v3;Mode & Vêtements;T-shirt;537.45;230;4.7;En stock;2025-03-24
PROD-1111;Sèche-cheveux TechCorp v2;Beauté & Santé;Sèche-cheveux;70.71;18;4.3;En stock;2026-01-19
PROD-1112;Aspirateur TechCorp v1;Maison & Cuisine;Aspirateur;665.28;38;4.4;En stock;2026-03-12
PROD-1113;Aspirateur PrimeGoods v1;Maison & Cuisine;Aspirateur;601.97;17;4.7;En stock;2025-03-10
PROD-1114;Tapis de course NovaLife v3;Sports & Loisirs;Tapis de course;236.27;181;4.7;En stock;2025-09-14
PROD-1115;Tapis de course FitGear v1;Sports & Loisirs;Tapis de course;857.67;237;3.6;En stock;2025-09-23
PROD-1116;Gourde TechCorp v2;Sports & Loisirs;Gourde;179.74;154;3.8;En stock;2026-05-12
PROD-1117;Lampe de bureau NovaLife v1;Maison & Cuisine;Lampe de bureau;738.13;95;3.6;En stock;2026-01-05
PROD-1118;Brosse à dents électrique EcoHome v5;Beauté & Santé;Brosse à dents électrique;117.5;13;4.9;Stock faible;2025-05-15
PROD-1119;Poêle NovaLife v5;Maison & Cuisine;Poêle;393.89;188;3.9;En stock;2025-09-19
PROD-1120;Haltères EcoHome v3;Sports & Loisirs;Haltères;566.67;104;4.8;En stock;2025-07-19
PROD-1121;Machine à café FitGear v2;Maison & Cuisine;Machine à café;454.73;137;4.4;En stock;2026-05-05
PROD-1122;Parfum AuraStyle v3;Beauté & Santé;Parfum;817.27;47;4.9;En stock;2026-01-29
PROD-1123;Lampe de bureau NovaLife v4;Maison & Cuisine;Lampe de bureau;399.54;62;5.0;En stock;2025-06-25
PROD-1124;Vélo de ville TechCorp v4;Sports & Loisirs;Vélo de ville;80.94;203;4.2;En stock;2025-04-10
PROD-1125;Écouteurs AuraStyle v5;Électronique;Écouteurs;159.08;186;3.5;En stock;2025-03-08
PROD-1126;Robe NovaLife v3;Mode & Vêtements;Robe;639.86;222;3.5;En stock;2026-03-07
PROD-1127;Robe NovaLife v4;Mode & Vêtements;Robe;731.65;85;4.0;En stock;2025-02-18
PROD-1128;Tablette EcoHome v4;Électronique;Tablette;601.89;48;3.5;En stock;2025-02-08
PROD-1129;Ordinateur EcoHome v5;Électronique;Ordinateur;896.05;241;4.3;En stock;2026-03-22
PROD-1130;Sèche-cheveux AuraStyle v3;Beauté & Santé;Sèche-cheveux;392.83;245;4.6;En stock;2025-06-03
PROD-1131;Baskets AuraStyle v4;Mode & Vêtements;Baskets;768.26;34;5.0;En stock;2025-05-03
PROD-1132;Sèche-cheveux FitGear v3;Beauté & Santé;Sèche-cheveux;675.98;222;4.3;En stock;2025-03-15
PROD-1133;Haltères AuraStyle v1;Sports & Loisirs;Haltères;554.04;223;3.8;En stock;2025-06-10
PROD-1134;Mélangeur NovaLife v2;Maison & Cuisine;Mélangeur;771.69;220;4.2;En stock;2025-09-05
PROD-1135;Vélo de ville EcoHome v2;Sports & Loisirs;Vélo de ville;714.13;230;4.6;En stock;2025-09-20
PROD-1136;Parfum TechCorp v2;Beauté & Santé;Parfum;892.12;63;4.9;En stock;2025-03-25
PROD-1137;T-shirt NovaLife v5;Mode & Vêtements;T-shirt;114.16;235;3.5;En stock;2026-04-22
PROD-1138;Robe TechCorp v1;Mode & Vêtements;Robe;416.22;67;4.3;En stock;2026-02-15
PROD-1139;Ordinateur PrimeGoods v2;Électronique;Ordinateur;481.92;31;4.0;En stock;2025-03-08
PROD-1140;Veste TechCorp v3;Mode & Vêtements;Veste;99.34;31;4.9;En stock;2025-02-05
PROD-1141;Ordinateur TechCorp v4;Électronique;Ordinateur;65.17;16;3.7;En stock;2025-03-28
PROD-1142;Sèche-cheveux NovaLife v4;Beauté & Santé;Sèche-cheveux;486.34;108;4.2;En stock;2026-02-09
PROD-1143;Sac à dos FitGear v2;Sports & Loisirs;Sac à dos;562.05;81;4.7;En stock;2025-04-03
PROD-1144;Ordinateur NovaLife v1;Électronique;Ordinateur;171.48;122;3.6;En stock;2025-09-27
PROD-1145;Lampe de bureau PrimeGoods v5;Maison & Cuisine;Lampe de bureau;784.17;152;3.6;En stock;2025-02-06
PROD-1146;Tablette AuraStyle v1;Électronique;Tablette;248.39;43;4.1;En stock;2025-12-16
PROD-1147;Jean NovaLife v5;Mode & Vêtements;Jean;241.9;187;4.0;En stock;2025-05-10
PROD-1148;Ordinateur TechCorp v2;Électronique;Ordinateur;883.01;14;4.4;Stock faible;2025-12-30
PROD-1149;Écouteurs FitGear v1;Électronique;Écouteurs;412.11;196;3.7;En stock;2026-01-15
PROD-1150;Gourde PrimeGoods v5;Sports & Loisirs;Gourde;825.28;114;3.5;En stock;2025-10-26
PROD-1151;Lampe de bureau TechCorp v5;Maison & Cuisine;Lampe de bureau;159.37;97;4.2;En stock;2026-05-11
PROD-1152;Smartphone EcoHome v3;Électronique;Smartphone;712.09;142;4.3;En stock;2025-04-12
PROD-1153;Tablette TechCorp v3;Électronique;Tablette;343.58;143;4.8;En stock;2025-06-15
PROD-1154;Baskets NovaLife v1;Mode & Vêtements;Baskets;568.51;53;3.8;En stock;2025-12-12
PROD-1155;Veste FitGear v2;Mode & Vêtements;Veste;893.93;198;4.8;En stock;2026-03-12
PROD-1156;Aspirateur TechCorp v2;Maison & Cuisine;Aspirateur;227.16;100;4.3;En stock;2025-09-27
PROD-1157;Trousse de maquillage PrimeGoods v1;Beauté & Santé;Trousse de maquillage;13.44;37;4.0;En stock;2026-01-28
PROD-1158;Poêle NovaLife v4;Maison & Cuisine;Poêle;682.7;71;4.8;En stock;2025-03-09
PROD-1159;Brosse à dents électrique AuraStyle v1;Beauté & Santé;Brosse à dents électrique;95.72;29;4.0;En stock;2025-10-21
PROD-1160;Tapis de course TechCorp v1;Sports & Loisirs;Tapis de course;364.78;55;3.6;En stock;2025-02-13
PROD-1161;Machine à café AuraStyle v4;Maison & Cuisine;Machine à café;433.99;169;3.6;En stock;2025-07-17
PROD-1162;Lampe de bureau TechCorp v3;Maison & Cuisine;Lampe de bureau;322.73;38;4.4;En stock;2025-03-10
PROD-1163;Sèche-cheveux FitGear v3;Beauté & Santé;Sèche-cheveux;749.16;156;4.7;En stock;2025-07-28
PROD-1164;Montre connectée PrimeGoods v5;Électronique;Montre connectée;433.26;7;4.0;Stock faible;2025-02-16
PROD-1165;Machine à café PrimeGoods v1;Maison & Cuisine;Machine à café;318.92;165;3.6;En stock;2026-02-07
PROD-1166;Jean AuraStyle v5;Mode & Vêtements;Jean;70.24;90;3.7;En stock;2025-01-02
PROD-1167;T-shirt PrimeGoods v2;Mode & Vêtements;T-shirt;206.47;149;3.6;En stock;2025-09-23
PROD-1168;Sèche-cheveux NovaLife v4;Beauté & Santé;Sèche-cheveux;295.05;147;4.2;En stock;2025-10-08
PROD-1169;Sèche-cheveux EcoHome v3;Beauté & Santé;Sèche-cheveux;367.14;229;4.8;En stock;2025-04-05
PROD-1170;Ordinateur PrimeGoods v4;Électronique;Ordinateur;588.08;48;3.9;En stock;2025-07-09
PROD-1171;Smartphone AuraStyle v5;Électronique;Smartphone;748.83;61;4.2;En stock;2025-09-25
PROD-1172;Mélangeur PrimeGoods v4;Maison & Cuisine;Mélangeur;395.68;172;4.6;En stock;2025-11-07
PROD-1173;Ordinateur NovaLife v1;Électronique;Ordinateur;403.92;34;4.1;En stock;2025-02-16
PROD-1174;Tapis de course NovaLife v1;Sports & Loisirs;Tapis de course;77.63;185;3.6;En stock;2025-02-02
PROD-1175;Lampe de bureau NovaLife v3;Maison & Cuisine;Lampe de bureau;572.3;242;3.9;En stock;2025-01-22
PROD-1176;Brosse à dents électrique EcoHome v4;Beauté & Santé;Brosse à dents électrique;118.34;177;3.7;En stock;2025-09-16
PROD-1177;Vélo de ville EcoHome v2;Sports & Loisirs;Vélo de ville;856.22;26;4.1;En stock;2026-01-26
PROD-1178;Écouteurs EcoHome v3;Électronique;Écouteurs;842.05;232;4.5;En stock;2026-05-04
PROD-1179;T-shirt AuraStyle v3;Mode & Vêtements;T-shirt;566.53;202;3.7;En stock;2025-08-20
PROD-1180;Smartphone PrimeGoods v5;Électronique;Smartphone;201.42;13;4.4;Stock faible;2025-04-18
PROD-1181;Brosse à dents électrique EcoHome v5;Beauté & Santé;Brosse à dents électrique;658.55;86;4.8;En stock;2025-05-25
PROD-1182;Aspirateur EcoHome v1;Maison & Cuisine;Aspirateur;546.13;94;3.7;En stock;2025-08-17
PROD-1183;Poêle EcoHome v5;Maison & Cuisine;Poêle;613.22;169;4.4;En stock;2025-01-17
PROD-1184;Brosse à dents électrique NovaLife v4;Beauté & Santé;Brosse à dents électrique;84.42;87;4.2;En stock;2025-06-12
PROD-1185;Trousse de maquillage FitGear v2;Beauté & Santé;Trousse de maquillage;385.87;190;4.7;En stock;2025-03-22
PROD-1186;Mélangeur AuraStyle v3;Maison & Cuisine;Mélangeur;688.43;182;4.2;En stock;2025-12-23
PROD-1187;Jean TechCorp v2;Mode & Vêtements;Jean;57.47;104;4.2;En stock;2025-10-21
PROD-1188;Brosse à dents électrique FitGear v1;Beauté & Santé;Brosse à dents électrique;225.16;200;4.2;En stock;2025-01-01
PROD-1189;Mélangeur FitGear v1;Maison & Cuisine;Mélangeur;66.06;154;4.7;En stock;2026-04-17
PROD-1190;Smartphone PrimeGoods v2;Électronique;Smartphone;424.7;112;4.5;En stock;2025-11-01
PROD-1191;Tapis de course FitGear v5;Sports & Loisirs;Tapis de course;642.05;9;3.7;Stock faible;2025-12-23
PROD-1192;T-shirt AuraStyle v4;Mode & Vêtements;T-shirt;551.12;240;4.7;En stock;2025-10-23
PROD-1193;Vélo de ville NovaLife v4;Sports & Loisirs;Vélo de ville;505.61;32;4.1;En stock;2025-08-10
PROD-1194;Aspirateur PrimeGoods v5;Maison & Cuisine;Aspirateur;303.87;214;4.8;En stock;2025-04-22
PROD-1195;Sèche-cheveux EcoHome v4;Beauté & Santé;Sèche-cheveux;409.76;53;4.6;En stock;2025-01-22
PROD-1196;Sèche-cheveux AuraStyle v5;Beauté & Santé;Sèche-cheveux;447.99;23;4.7;En stock;2025-05-29
PROD-1197;Jean AuraStyle v1;Mode & Vêtements;Jean;212.6;72;4.9;En stock;2025-02-26
PROD-1198;Smartphone FitGear v2;Électronique;Smartphone;325.63;81;4.4;En stock;2026-02-08
PROD-1199;Veste AuraStyle v4;Mode & Vêtements;Veste;246.21;237;4.7;En stock;2025-07-25
PROD-1200;Baskets EcoHome v1;Mode & Vêtements;Baskets;293.16;188;4.8;En stock;2025-05-21
PROD-1201;Baskets FitGear v1;Mode & Vêtements;Baskets;370.95;111;4.9;En stock;2025-08-07
PROD-1202;Tablette EcoHome v2;Électronique;Tablette;715.37;230;4.5;En stock;2025-12-11
PROD-1203;Crème hydratante EcoHome v2;Beauté & Santé;Crème hydratante;533.89;95;4.9;En stock;2025-03-15
PROD-1204;Gourde EcoHome v2;Sports & Loisirs;Gourde;173.82;82;4.3;En stock;2026-03-10
PROD-1205;Robe FitGear v5;Mode & Vêtements;Robe;342.07;60;3.9;En stock;2025-03-18
PROD-1206;T-shirt TechCorp v3;Mode & Vêtements;T-shirt;89.86;45;4.4;En stock;2026-03-22
PROD-1207;Crème hydratante FitGear v4;Beauté & Santé;Crème hydratante;458.1;81;3.5;En stock;2025-06-16
PROD-1208;Trousse de maquillage EcoHome v2;Beauté & Santé;Trousse de maquillage;222.96;117;4.3;En stock;2025-12-09
PROD-1209;Brosse à dents électrique EcoHome v4;Beauté & Santé;Brosse à dents électrique;569.05;117;3.5;En stock;2025-07-15
PROD-1210;Mélangeur AuraStyle v4;Maison & Cuisine;Mélangeur;287.61;203;4.4;En stock;2025-01-31
PROD-1211;Haltères NovaLife v4;Sports & Loisirs;Haltères;322.87;58;4.8;En stock;2026-03-26
PROD-1212;Sèche-cheveux AuraStyle v3;Beauté & Santé;Sèche-cheveux;649.11;29;4.7;En stock;2026-05-05
PROD-1213;Crème hydratante TechCorp v1;Beauté & Santé;Crème hydratante;539.07;80;4.2;En stock;2025-07-08
PROD-1214;T-shirt TechCorp v5;Mode & Vêtements;T-shirt;562.83;227;4.6;En stock;2025-01-15
PROD-1215;Machine à café TechCorp v1;Maison & Cuisine;Machine à café;132.98;185;4.4;En stock;2026-02-25
PROD-1216;Sac à dos EcoHome v5;Sports & Loisirs;Sac à dos;583.48;177;4.3;En stock;2026-03-14
PROD-1217;Veste EcoHome v4;Mode & Vêtements;Veste;333.33;136;4.2;En stock;2025-05-29
PROD-1218;T-shirt AuraStyle v3;Mode & Vêtements;T-shirt;95.67;238;3.9;En stock;2025-06-28
PROD-1219;Brosse à dents électrique FitGear v1;Beauté & Santé;Brosse à dents électrique;59.01;136;4.0;En stock;2025-05-26
PROD-1220;Robe AuraStyle v1;Mode & Vêtements;Robe;65.43;184;5.0;En stock;2025-09-03
PROD-1221;Tapis de course PrimeGoods v3;Sports & Loisirs;Tapis de course;25.99;112;3.8;En stock;2025-03-02
PROD-1222;Aspirateur EcoHome v4;Maison & Cuisine;Aspirateur;318.05;205;4.9;En stock;2026-01-12
PROD-1223;Jean NovaLife v5;Mode & Vêtements;Jean;241.15;209;4.8;En stock;2025-03-01
PROD-1224;Montre connectée PrimeGoods v1;Électronique;Montre connectée;481.77;52;4.2;En stock;2025-07-10
PROD-1225;Gourde TechCorp v2;Sports & Loisirs;Gourde;399.53;67;4.3;En stock;2025-09-26
PROD-1226;Vélo de ville FitGear v3;Sports & Loisirs;Vélo de ville;516.19;80;4.4;En stock;2025-01-27
PROD-1227;Lampe de bureau AuraStyle v5;Maison & Cuisine;Lampe de bureau;817.66;105;4.1;En stock;2025-06-24
PROD-1228;Gourde PrimeGoods v5;Sports & Loisirs;Gourde;196.81;115;4.8;En stock;2026-01-23
PROD-1229;Montre connectée TechCorp v3;Électronique;Montre connectée;248.45;91;4.4;En stock;2026-03-07
PROD-1230;Écouteurs PrimeGoods v1;Électronique;Écouteurs;782.33;170;4.9;En stock;2026-02-23
PROD-1231;Haltères AuraStyle v4;Sports & Loisirs;Haltères;642.04;97;4.7;En stock;2026-04-18
PROD-1232;Aspirateur EcoHome v5;Maison & Cuisine;Aspirateur;212.97;42;3.9;En stock;2025-08-10
PROD-1233;Tapis de course TechCorp v2;Sports & Loisirs;Tapis de course;877.71;214;4.4;En stock;2026-03-18
PROD-1234;Trousse de maquillage PrimeGoods v5;Beauté & Santé;Trousse de maquillage;280.84;126;4.3;En stock;2025-06-29
PROD-1235;Brosse à dents électrique PrimeGoods v2;Beauté & Santé;Brosse à dents électrique;108.95;137;4.3;En stock;2025-05-26
PROD-1236;Baskets TechCorp v4;Mode & Vêtements;Baskets;103.97;208;3.6;En stock;2025-10-19
PROD-1237;Robe PrimeGoods v5;Mode & Vêtements;Robe;814.37;235;3.9;En stock;2026-05-14
PROD-1238;Crème hydratante EcoHome v2;Beauté & Santé;Crème hydratante;836.93;120;4.6;En stock;2025-01-22
PROD-1239;Veste NovaLife v1;Mode & Vêtements;Veste;581.18;207;3.7;En stock;2025-12-16
