ID_Produit;Nom_Produit;Categorie;Prix_Unitaire_ECO;Quantite_Stock;Statut_Disponibilite;Score_Avis;Date_Ajout;Poids_kg;Code_Barres
PROD-0020;Tablette Nova;Électronique;175.61;973;En stock;4.9;2024-06-18;4.05;3660123736059
PROD-0021;Vélo Tout Terrain Vortex;Sports & Loisirs;984.28;1412;En stock;3.4;2024-11-15;6.04;3660123804314
PROD-0022;Chaussures de Sport Vortex;Mode;592.41;507;En stock;3.4;2024-12-12;0.41;3660123680828
PROD-0023;Friteuse sans Huile Nova;Maison & Cuisine;19.27;1449;En stock;4.3;2024-08-22;1.1;3660123132938
PROD-0024;T-shirt en Coton Vortex;Mode;317.02;1370;En stock;4.0;2025-07-06;2.07;3660123698782
PROD-0025;Parfum Nova;Beauté & Santé;1022.15;833;En stock;3.4;2024-04-09;9.92;3660123471507
PROD-0026;Gourde Isotherme Quantum;Sports & Loisirs;1124.34;110;En stock;4.3;2025-10-23;1.57;3660123522179
PROD-0027;T-shirt en Coton Nova;Mode;257.14;1098;En stock;3.9;2025-03-08;2.83;3660123585100
PROD-0028;Aspirateur Robot Quantum;Maison & Cuisine;1052.34;1127;En stock;3.2;2025-10-29;14.99;3660123976638
PROD-0029;Smartphone Nova;Électronique;224.53;994;En stock;4.0;2026-06-04;6.08;3660123161483
PROD-0030;Four à Micro-ondes Apex;Maison & Cuisine;1281.04;543;En stock;4.9;2026-03-14;6.88;3660123543555
PROD-0031;Parfum Nova;Beauté & Santé;254.96;445;En stock;4.9;2025-08-16;11.06;3660123163918
PROD-0032;T-shirt en Coton Apex;Mode;763.58;1029;En stock;4.8;2025-06-27;2.45;3660123632496
PROD-0033;Ordinateur Portable Apex;Électronique;777.59;1382;En stock;4.7;2025-02-17;1.89;3660123697347
PROD-0034;Friteuse sans Huile Vortex;Maison & Cuisine;61.26;167;En stock;3.8;2025-08-20;8.52;3660123431737
PROD-0035;Jeans Slim Elite;Mode;933.88;488;En stock;3.5;2024-05-14;10.11;3660123414569
PROD-0036;Haltères Apex;Sports & Loisirs;22.01;1272;En stock;5.0;2024-04-12;1.19;3660123323508
PROD-0037;Crème Hydratante Nova;Beauté & Santé;1213.89;140;En stock;4.8;2025-01-13;4.35;3660123559469
PROD-0038;Crème Hydratante Vortex;Beauté & Santé;1279.16;1339;En stock;4.1;2025-11-14;12.27;3660123413921
PROD-0039;Ordinateur Portable Zenith;Électronique;158.89;219;En stock;4.5;2024-06-08;4.16;3660123734210
PROD-0040;Mélangeur Nova;Maison & Cuisine;896.86;540;En stock;4.0;2024-09-14;13.59;3660123987204
PROD-0041;Smartphone Elite;Électronique;556.4;566;En stock;3.1;2024-12-07;11.59;3660123768061
PROD-0042;Jeans Slim Elite;Mode;579.96;1445;En stock;3.9;2024-01-10;1.77;3660123824586
PROD-0043;Friteuse sans Huile Apex;Maison & Cuisine;1086.62;1192;En stock;4.1;2025-03-16;2.0;3660123423232
PROD-0044;T-shirt en Coton Zenith;Mode;280.99;511;En stock;4.3;2024-12-28;11.72;3660123526117
PROD-0045;Brosse à Dents Électrique Nova;Beauté & Santé;1125.33;362;En stock;4.8;2024-01-26;2.77;3660123448321
PROD-0046;Vélo Tout Terrain Zenith;Sports & Loisirs;215.36;1436;En stock;3.2;2026-06-12;0.68;3660123593554
PROD-0047;Machine à Café Quantum;Maison & Cuisine;461.05;466;En stock;3.4;2025-11-06;2.98;3660123444207
PROD-0048;T-shirt en Coton Zenith;Mode;462.97;1043;En stock;3.8;2026-05-13;8.09;3660123128941
PROD-0049;Écouteurs Sans Fil Nova;Électronique;758.95;543;En stock;3.1;2025-09-02;6.58;3660123863934
PROD-0050;Chaussures de Sport Vortex;Mode;1279.65;236;En stock;3.8;2025-08-13;2.93;3660123146542
PROD-0051;Tapis de Yoga Vortex;Sports & Loisirs;1203.98;1102;En stock;4.4;2026-01-29;11.08;3660123306606
PROD-0052;Chaussures de Sport Apex;Mode;1234.04;676;En stock;4.2;2025-11-10;12.74;3660123854717
PROD-0053;Sac à Dos Zenith;Mode;870.28;668;En stock;3.8;2024-10-29;8.36;3660123301158
PROD-0054;Gourde Isotherme Elite;Sports & Loisirs;975.08;356;En stock;4.2;2024-11-04;6.15;3660123974224
PROD-0055;Écouteurs Sans Fil Zenith;Électronique;281.13;1187;En stock;4.2;2024-11-25;7.03;3660123563638
PROD-0056;Friteuse sans Huile Quantum;Maison & Cuisine;1033.91;347;En stock;4.3;2024-10-17;7.78;3660123763686
PROD-0057;Crème Hydratante Apex;Beauté & Santé;1065.76;481;En stock;4.3;2024-08-18;12.12;3660123254511
PROD-0058;Smartphone Nova;Électronique;1279.27;1251;En stock;4.7;2024-03-15;6.89;3660123760356
PROD-0059;Brosse à Dents Électrique Elite;Beauté & Santé;908.29;1012;En stock;3.8;2024-05-31;9.88;3660123105814
PROD-0060;Télévision 4K Nova;Électronique;236.88;1425;En stock;4.0;2024-02-21;8.41;3660123989545
PROD-0061;Télévision 4K Nova;Électronique;1043.82;1367;En stock;4.1;2025-07-26;8.97;3660123891937
PROD-0062;Raquette de Tennis Elite;Sports & Loisirs;1160.7;873;En stock;4.7;2025-07-15;6.74;3660123266889
PROD-0063;Gourde Isotherme Zenith;Sports & Loisirs;979.78;1305;En stock;3.6;2026-03-07;7.87;3660123757193
PROD-0064;Mélangeur Quantum;Maison & Cuisine;109.94;585;En stock;3.5;2024-12-09;4.86;3660123666390
PROD-0065;Ordinateur Portable Nova;Électronique;308.32;1421;En stock;3.3;2024-08-07;1.06;3660123527398
PROD-0066;Sac à Dos Quantum;Mode;546.34;423;En stock;4.7;2025-02-02;13.58;3660123712451
PROD-0067;Tablette Quantum;Électronique;625.29;720;En stock;3.6;2025-02-03;12.82;3660123976325
PROD-0068;Raquette de Tennis Elite;Sports & Loisirs;957.67;1235;En stock;4.8;2025-05-14;3.37;3660123557007
PROD-0069;Tapis de Yoga Quantum;Sports & Loisirs;443.6;1390;En stock;4.6;2026-01-11;2.56;3660123590094
PROD-0070;Friteuse sans Huile Vortex;Maison & Cuisine;44.78;806;En stock;4.2;2025-11-09;0.5;3660123773971
PROD-0071;Vélo Tout Terrain Quantum;Sports & Loisirs;244.42;532;En stock;3.8;2024-08-04;6.88;3660123453894
PROD-0072;Haltères Quantum;Sports & Loisirs;335.42;167;En stock;3.9;2026-02-06;8.14;3660123466960
PROD-0073;Aspirateur Robot Elite;Maison & Cuisine;61.92;63;En stock;4.9;2024-07-23;12.6;3660123751517
PROD-0074;Machine à Café Nova;Maison & Cuisine;620.88;234;En stock;4.1;2024-08-11;7.03;3660123368690
PROD-0075;Jeans Slim Vortex;Mode;793.34;1471;En stock;3.2;2026-04-18;2.54;3660123426147
PROD-0076;Tablette Apex;Électronique;1208.25;1179;En stock;4.4;2025-01-19;6.01;3660123849747
PROD-0077;Aspirateur Robot Vortex;Maison & Cuisine;900.88;1284;En stock;3.5;2025-12-14;11.61;3660123991597
PROD-0078;Sèche-Cheveux Vortex;Beauté & Santé;1019.59;711;En stock;4.1;2025-11-08;5.62;3660123630538
PROD-0079;T-shirt en Coton Quantum;Mode;1070.8;216;En stock;3.9;2025-01-05;9.57;3660123968962
PROD-0080;Vélo Tout Terrain Quantum;Sports & Loisirs;237.21;1068;En stock;4.9;2024-10-03;9.28;3660123664315
PROD-0081;Gourde Isotherme Quantum;Sports & Loisirs;1075.19;1213;En stock;3.5;2026-05-22;3.76;3660123190872
PROD-0082;Chaussures de Sport Nova;Mode;978.1;1167;En stock;4.2;2025-01-23;5.11;3660123618317
PROD-0083;Jeans Slim Quantum;Mode;283.62;529;En stock;3.7;2026-06-20;8.98;3660123389688
PROD-0084;Sèche-Cheveux Vortex;Beauté & Santé;1232.99;175;En stock;3.5;2025-02-20;7.38;3660123894993
PROD-0085;Four à Micro-ondes Elite;Maison & Cuisine;928.27;917;En stock;4.6;2024-04-05;4.48;3660123524045
PROD-0086;Mélangeur Elite;Maison & Cuisine;760.2;969;En stock;4.1;2024-12-18;6.44;3660123882169
PROD-0087;Crème Hydratante Zenith;Beauté & Santé;916.67;554;En stock;3.6;2024-08-24;1.9;3660123301939
PROD-0088;T-shirt en Coton Elite;Mode;701.25;1413;En stock;3.4;2024-08-09;11.11;3660123389930
PROD-0089;Crème Hydratante Apex;Beauté & Santé;1084.08;606;En stock;3.5;2024-07-02;4.6;3660123842411
PROD-0090;Brosse à Dents Électrique Zenith;Beauté & Santé;68.71;111;En stock;4.1;2025-12-15;14.17;3660123768854
PROD-0091;Tapis de Yoga Apex;Sports & Loisirs;750.53;961;En stock;4.0;2024-12-14;2.85;3660123153872
PROD-0092;Chaussures de Sport Apex;Mode;1070.52;820;En stock;4.0;2025-08-13;9.48;3660123156213
PROD-0093;Machine à Café Vortex;Maison & Cuisine;1234.36;174;En stock;5.0;2024-05-01;8.42;3660123536390
PROD-0094;Brosse à Dents Électrique Vortex;Beauté & Santé;500.68;906;En stock;3.6;2025-08-25;14.85;3660123420214
PROD-0095;Sèche-Cheveux Vortex;Beauté & Santé;1248.53;203;En stock;4.9;2024-07-31;9.42;3660123377501
PROD-0096;Ordinateur Portable Nova;Électronique;234.21;153;En stock;3.3;2025-02-22;6.81;3660123722656
PROD-0097;Haltères Apex;Sports & Loisirs;308.59;1447;En stock;3.6;2026-05-30;6.87;3660123820775
PROD-0098;Mélangeur Elite;Maison & Cuisine;770.82;405;En stock;3.9;2025-07-11;3.45;3660123256226
PROD-0099;Jeans Slim Apex;Mode;86.92;629;En stock;4.2;2026-04-24;8.58;3660123402630
PROD-0100;Tapis de Yoga Quantum;Sports & Loisirs;898.38;1433;En stock;3.8;2024-10-05;7.56;3660123617781
PROD-0101;Tapis de Yoga Vortex;Sports & Loisirs;61.41;884;En stock;4.5;2025-09-10;3.83;3660123195763
PROD-0102;Friteuse sans Huile Vortex;Maison & Cuisine;1236.5;1376;En stock;4.6;2025-08-13;0.7;3660123893005
PROD-0103;Four à Micro-ondes Vortex;Maison & Cuisine;850.44;569;En stock;3.4;2025-08-22;6.59;3660123953797
PROD-0104;Tapis de Yoga Quantum;Sports & Loisirs;458.86;682;En stock;3.6;2024-04-17;12.88;3660123445824
PROD-0105;Gourde Isotherme Zenith;Sports & Loisirs;864.72;820;En stock;4.6;2025-07-17;0.65;3660123192337
PROD-0106;Veste d'Hiver Zenith;Mode;159.53;827;En stock;4.7;2026-04-24;14.82;3660123789606
PROD-0107;Parfum Quantum;Beauté & Santé;79.91;1061;En stock;3.7;2026-02-13;7.53;3660123563513
PROD-0108;Ordinateur Portable Zenith;Électronique;718.48;589;En stock;3.9;2025-12-16;7.32;3660123130271
PROD-0109;Brosse à Dents Électrique Elite;Beauté & Santé;214.3;1128;En stock;3.0;2025-02-21;1.49;3660123982277
PROD-0110;Télévision 4K Apex;Électronique;845.54;315;En stock;4.0;2026-01-03;4.45;3660123839677
PROD-0111;Chaussures de Sport Quantum;Mode;1274.51;499;En stock;3.9;2024-05-28;5.82;3660123728492
PROD-0112;Brosse à Dents Électrique Apex;Beauté & Santé;366.35;849;En stock;3.7;2026-03-17;7.67;3660123960408
PROD-0113;Écouteurs Sans Fil Elite;Électronique;395.13;1202;En stock;4.2;2025-11-06;7.4;3660123255813
PROD-0114;Raquette de Tennis Quantum;Sports & Loisirs;455.2;1130;En stock;4.5;2025-01-21;6.88;3660123437408
PROD-0115;Machine à Café Vortex;Maison & Cuisine;504.02;841;En stock;3.1;2026-02-01;7.15;3660123950823
PROD-0116;Gourde Isotherme Elite;Sports & Loisirs;1032.18;1335;En stock;5.0;2025-05-22;14.48;3660123232378
PROD-0117;Crème Hydratante Apex;Beauté & Santé;1137.7;901;En stock;3.2;2026-07-21;6.91;3660123857537
PROD-0118;Four à Micro-ondes Elite;Maison & Cuisine;1261.23;153;En stock;3.9;2024-09-28;5.14;3660123826353
PROD-0119;Tapis de Yoga Zenith;Sports & Loisirs;1109.51;1092;En stock;3.8;2024-11-20;9.44;3660123896290
PROD-0120;Raquette de Tennis Apex;Sports & Loisirs;806.51;480;En stock;4.3;2026-08-01;4.38;3660123338536
PROD-0121;Télévision 4K Apex;Électronique;990.87;1441;En stock;4.7;2025-03-30;2.58;3660123414012
PROD-0122;Smartphone Zenith;Électronique;1037.02;600;En stock;3.7;2025-03-17;2.27;3660123656968
PROD-0123;Raquette de Tennis Elite;Sports & Loisirs;1032.34;348;En stock;3.4;2025-09-16;13.08;3660123749813
PROD-0124;Four à Micro-ondes Vortex;Maison & Cuisine;194.61;944;En stock;4.3;2025-04-15;3.9;3660123109853
PROD-0125;Haltères Elite;Sports & Loisirs;715.1;151;En stock;3.9;2024-12-19;14.82;3660123413685
PROD-0126;Haltères Quantum;Sports & Loisirs;1100.43;407;En stock;5.0;2026-05-23;7.3;3660123348728
PROD-0127;Raquette de Tennis Zenith;Sports & Loisirs;751.5;1432;En stock;3.6;2026-04-29;9.91;3660123387813
PROD-0128;Tablette Elite;Électronique;1014.01;100;En stock;4.8;2026-02-02;7.5;3660123400096
PROD-0129;Friteuse sans Huile Zenith;Maison & Cuisine;292.51;389;En stock;4.2;2025-11-25;11.36;3660123904751
PROD-0130;Aspirateur Robot Elite;Maison & Cuisine;843.77;632;En stock;4.6;2024-02-04;8.74;3660123867934
PROD-0131;Aspirateur Robot Zenith;Maison & Cuisine;431.46;850;En stock;3.4;2024-05-15;11.82;3660123483629
PROD-0132;Crème Hydratante Nova;Beauté & Santé;341.48;986;En stock;4.9;2024-10-29;11.22;3660123455168
PROD-0133;Télévision 4K Apex;Électronique;191.57;462;En stock;4.7;2026-01-11;10.15;3660123516716
PROD-0134;Crème Hydratante Apex;Beauté & Santé;1029.97;28;Stock faible;3.5;2024-05-06;6.88;3660123805511
PROD-0135;Sac à Dos Quantum;Mode;1070.91;760;En stock;3.2;2024-08-27;7.13;3660123749641
PROD-0136;Crème Hydratante Vortex;Beauté & Santé;295.55;129;En stock;4.3;2025-04-20;13.65;3660123416869
PROD-0137;Tapis de Yoga Nova;Sports & Loisirs;68.49;76;En stock;3.6;2025-05-19;1.83;3660123346205
PROD-0138;Brosse à Dents Électrique Quantum;Beauté & Santé;595.19;1373;En stock;4.9;2025-12-14;14.2;3660123539486
PROD-0139;Brosse à Dents Électrique Quantum;Beauté & Santé;854.84;1002;En stock;4.2;2024-10-13;0.59;3660123488528
PROD-0140;Four à Micro-ondes Quantum;Maison & Cuisine;1236.21;742;En stock;3.2;2025-12-03;5.57;3660123776149
PROD-0141;T-shirt en Coton Quantum;Mode;365.88;250;En stock;4.9;2026-04-23;6.88;3660123794963
PROD-0142;Friteuse sans Huile Apex;Maison & Cuisine;75.24;683;En stock;3.5;2024-05-08;11.83;3660123315173
PROD-0143;Tablette Nova;Électronique;766.42;477;En stock;3.7;2024-05-31;11.85;3660123724932
PROD-0144;Écouteurs Sans Fil Nova;Électronique;1283.9;1106;En stock;3.5;2024-06-27;1.74;3660123127032
PROD-0145;Aspirateur Robot Zenith;Maison & Cuisine;1029.07;487;En stock;4.2;2024-01-17;2.7;3660123154944
PROD-0146;Four à Micro-ondes Vortex;Maison & Cuisine;156.6;130;En stock;4.0;2026-03-07;5.49;3660123722503
PROD-0147;Télévision 4K Vortex;Électronique;295.79;1259;En stock;3.1;2026-03-13;13.64;3660123790909
PROD-0148;Crème Hydratante Quantum;Beauté & Santé;839.9;63;En stock;3.1;2025-05-05;12.72;3660123546980
PROD-0149;Télévision 4K Elite;Électronique;1183.5;150;En stock;4.8;2024-11-25;9.16;3660123168872
PROD-0150;Mélangeur Vortex;Maison & Cuisine;826.66;1123;En stock;4.4;2025-01-25;14.92;3660123656329
PROD-0151;Chaussures de Sport Vortex;Mode;790.99;203;En stock;4.6;2024-04-27;12.81;3660123782535
PROD-0152;Brosse à Dents Électrique Quantum;Beauté & Santé;592.5;467;En stock;3.8;2026-04-27;6.86;3660123536196
PROD-0153;Écouteurs Sans Fil Quantum;Électronique;413.15;522;En stock;3.7;2024-06-05;10.33;3660123597305
PROD-0154;Smartphone Apex;Électronique;130.26;197;En stock;4.5;2025-01-16;12.2;3660123683397
PROD-0155;Tablette Vortex;Électronique;734.56;1372;En stock;3.2;2024-12-28;13.12;3660123886730
PROD-0156;Tapis de Yoga Zenith;Sports & Loisirs;784.52;720;En stock;3.2;2025-06-03;3.27;3660123788637
PROD-0157;Vélo Tout Terrain Apex;Sports & Loisirs;461.64;1139;En stock;3.7;2026-02-19;4.25;3660123337144
PROD-0158;Raquette de Tennis Vortex;Sports & Loisirs;801.5;1316;En stock;4.1;2025-09-15;13.94;3660123969752
PROD-0159;T-shirt en Coton Nova;Mode;362.51;632;En stock;4.8;2024-12-25;0.19;3660123250210
PROD-0160;Parfum Apex;Beauté & Santé;193.01;1296;En stock;4.9;2024-04-03;11.22;3660123325583
PROD-0161;Gourde Isotherme Quantum;Sports & Loisirs;449.75;757;En stock;3.6;2024-11-28;11.67;3660123695164
PROD-0162;Sèche-Cheveux Apex;Beauté & Santé;210.69;1265;En stock;3.1;2024-03-24;4.15;3660123794093
PROD-0163;Gourde Isotherme Vortex;Sports & Loisirs;580.23;559;En stock;3.4;2025-06-08;1.8;3660123550797
PROD-0164;Écouteurs Sans Fil Elite;Électronique;885.24;996;En stock;4.1;2024-11-11;0.78;3660123514463
PROD-0165;Sèche-Cheveux Apex;Beauté & Santé;273.7;432;En stock;4.5;2026-02-21;3.91;3660123444061
PROD-0166;Smartphone Quantum;Électronique;973.64;359;En stock;3.3;2025-06-29;10.58;3660123624563
PROD-0167;Crème Hydratante Apex;Beauté & Santé;522.21;86;En stock;3.9;2025-04-15;13.83;3660123428267
PROD-0168;Parfum Vortex;Beauté & Santé;531.7;1311;En stock;3.8;2024-04-27;6.13;3660123440544
PROD-0169;Friteuse sans Huile Quantum;Maison & Cuisine;1083.3;741;En stock;3.2;2026-05-14;1.68;3660123556839
PROD-0170;Parfum Vortex;Beauté & Santé;111.44;635;En stock;4.5;2024-08-14;5.06;3660123276299
PROD-0171;Tablette Elite;Électronique;157.08;1044;En stock;3.4;2026-03-05;5.31;3660123862712
PROD-0172;Machine à Café Apex;Maison & Cuisine;198.9;404;En stock;3.3;2024-06-05;11.43;3660123787351
PROD-0173;Ordinateur Portable Elite;Électronique;647.4;1154;En stock;4.5;2025-04-04;10.25;3660123691912
PROD-0174;Crème Hydratante Elite;Beauté & Santé;417.81;900;En stock;3.1;2025-03-28;9.51;3660123935012
PROD-0175;Sac à Dos Apex;Mode;464.0;151;En stock;3.6;2025-04-07;0.66;3660123486649
PROD-0176;T-shirt en Coton Elite;Mode;1124.87;184;En stock;4.2;2025-06-03;5.83;3660123708519
PROD-0177;Sèche-Cheveux Quantum;Beauté & Santé;1182.66;1170;En stock;4.3;2024-11-25;9.11;3660123625721
PROD-0178;Aspirateur Robot Quantum;Maison & Cuisine;143.51;703;En stock;5.0;2024-03-27;7.62;3660123280941
PROD-0179;Ordinateur Portable Elite;Électronique;574.7;899;En stock;4.0;2025-09-16;2.47;3660123490963
PROD-0180;Chaussures de Sport Quantum;Mode;1009.05;1390;En stock;4.2;2026-03-19;9.5;3660123450905
PROD-0181;Écouteurs Sans Fil Apex;Électronique;729.76;791;En stock;3.6;2026-01-11;12.79;3660123731977
PROD-0182;Mélangeur Apex;Maison & Cuisine;761.72;289;En stock;4.8;2024-11-13;14.52;3660123832409
PROD-0183;Vélo Tout Terrain Vortex;Sports & Loisirs;924.39;173;En stock;3.6;2025-01-20;9.69;3660123444432
PROD-0184;Friteuse sans Huile Apex;Maison & Cuisine;843.36;867;En stock;4.0;2024-01-19;5.5;3660123289019
PROD-0185;Mélangeur Quantum;Maison & Cuisine;257.68;281;En stock;3.3;2024-10-29;12.68;3660123206053
PROD-0186;Sèche-Cheveux Elite;Beauté & Santé;444.42;1265;En stock;3.3;2025-01-20;2.4;3660123289630
PROD-0187;Brosse à Dents Électrique Elite;Beauté & Santé;574.59;841;En stock;3.7;2026-01-06;3.64;3660123565776
PROD-0188;Crème Hydratante Elite;Beauté & Santé;1021.09;479;En stock;4.1;2024-11-12;14.49;3660123922471
PROD-0189;Vélo Tout Terrain Zenith;Sports & Loisirs;885.01;1168;En stock;5.0;2025-04-17;11.56;3660123915922
PROD-0190;Raquette de Tennis Vortex;Sports & Loisirs;550.06;331;En stock;4.6;2026-03-31;9.11;3660123362147
PROD-0191;Montre Connectée Quantum;Électronique;1137.6;1135;En stock;4.9;2025-12-29;12.7;3660123992512
PROD-0192;Écouteurs Sans Fil Apex;Électronique;994.41;558;En stock;3.9;2025-06-09;2.3;3660123558723
PROD-0193;Ordinateur Portable Quantum;Électronique;1151.16;54;En stock;3.8;2025-02-09;7.58;3660123347231
PROD-0194;Tapis de Yoga Zenith;Sports & Loisirs;299.64;652;En stock;4.9;2026-05-09;10.75;3660123451577
PROD-0195;Machine à Café Apex;Maison & Cuisine;380.06;967;En stock;4.4;2024-05-22;11.41;3660123591897
PROD-0196;Raquette de Tennis Apex;Sports & Loisirs;1178.55;38;Stock faible;3.5;2026-05-05;2.33;3660123862560
PROD-0197;Parfum Apex;Beauté & Santé;1011.25;486;En stock;3.6;2024-02-18;3.65;3660123769989
PROD-0198;Parfum Apex;Beauté & Santé;153.0;1023;En stock;4.2;2024-01-17;9.52;3660123702980
PROD-0199;Machine à Café Zenith;Maison & Cuisine;563.71;1259;En stock;3.7;2025-08-07;6.31;3660123796643
PROD-0200;Tablette Zenith;Électronique;97.3;1077;En stock;4.1;2026-03-16;14.83;3660123681070
PROD-0201;Télévision 4K Quantum;Électronique;66.15;792;En stock;5.0;2024-09-16;11.24;3660123474440
PROD-0202;Écouteurs Sans Fil Nova;Électronique;955.48;1286;En stock;3.2;2025-08-18;11.05;3660123448671
PROD-0203;Aspirateur Robot Zenith;Maison & Cuisine;714.35;1316;En stock;3.4;2026-03-08;10.3;3660123829168
PROD-0204;Vélo Tout Terrain Nova;Sports & Loisirs;91.39;937;En stock;3.1;2024-07-25;0.75;3660123309159
PROD-0205;Écouteurs Sans Fil Zenith;Électronique;674.83;1112;En stock;3.9;2024-02-07;11.32;3660123300386
PROD-0206;Veste d'Hiver Apex;Mode;1126.87;679;En stock;3.5;2026-03-29;5.58;3660123519453
PROD-0207;Gourde Isotherme Zenith;Sports & Loisirs;1266.09;1016;En stock;4.4;2025-01-11;13.87;3660123644500
PROD-0208;T-shirt en Coton Elite;Mode;557.59;881;En stock;4.2;2026-04-22;2.79;3660123408036
PROD-0209;T-shirt en Coton Apex;Mode;433.01;605;En stock;3.6;2025-09-09;10.79;3660123274739
PROD-0210;Haltères Quantum;Sports & Loisirs;64.63;722;En stock;4.2;2025-03-21;4.19;3660123929924
PROD-0211;Smartphone Elite;Électronique;832.38;744;En stock;4.0;2026-02-06;10.22;3660123132653
PROD-0212;Friteuse sans Huile Elite;Maison & Cuisine;1017.88;71;En stock;3.3;2024-08-29;11.7;3660123484123
PROD-0213;Chaussures de Sport Vortex;Mode;51.77;314;En stock;4.4;2025-01-14;5.64;3660123900152
PROD-0214;Tablette Nova;Électronique;692.99;815;En stock;3.6;2024-10-12;3.82;3660123218959
PROD-0215;Montre Connectée Nova;Électronique;653.76;792;En stock;4.8;2024-04-30;4.0;3660123372933
PROD-0216;Vélo Tout Terrain Vortex;Sports & Loisirs;378.38;1005;En stock;3.4;2024-05-18;12.81;3660123574001
PROD-0217;Four à Micro-ondes Apex;Maison & Cuisine;1055.55;654;En stock;4.3;2025-12-27;1.07;3660123668507
PROD-0218;Veste d'Hiver Nova;Mode;928.22;1434;En stock;4.3;2026-03-23;5.49;3660123335134
PROD-0219;Ordinateur Portable Nova;Électronique;315.38;1011;En stock;3.1;2025-07-21;8.63;3660123590110
PROD-0220;Brosse à Dents Électrique Vortex;Beauté & Santé;1150.67;134;En stock;3.6;2026-01-04;10.81;3660123651231
PROD-0221;Gourde Isotherme Vortex;Sports & Loisirs;105.13;649;En stock;4.3;2025-04-05;7.04;3660123642491
PROD-0222;Jeans Slim Vortex;Mode;835.32;372;En stock;4.5;2024-05-12;6.55;3660123158104
PROD-0223;Tablette Nova;Électronique;402.31;331;En stock;3.6;2025-12-27;3.46;3660123644103
PROD-0224;T-shirt en Coton Zenith;Mode;263.22;1128;En stock;3.5;2025-10-02;4.61;3660123659392
PROD-0225;Tablette Elite;Électronique;227.53;1189;En stock;3.3;2025-11-05;9.4;3660123734534
PROD-0226;Sac à Dos Apex;Mode;1074.54;58;En stock;3.2;2025-10-18;11.59;3660123377511
PROD-0227;Friteuse sans Huile Quantum;Maison & Cuisine;807.35;62;En stock;4.0;2025-10-04;8.23;3660123773088
PROD-0228;Chaussures de Sport Nova;Mode;1048.04;1402;En stock;3.8;2025-04-09;1.19;3660123162823
PROD-0229;Four à Micro-ondes Quantum;Maison & Cuisine;634.67;417;En stock;3.7;2024-05-27;4.76;3660123853258
PROD-0230;Veste d'Hiver Quantum;Mode;178.68;758;En stock;4.0;2024-04-18;4.85;3660123589131
PROD-0231;Écouteurs Sans Fil Quantum;Électronique;329.81;198;En stock;3.1;2025-01-28;12.98;3660123538446
PROD-0232;Machine à Café Zenith;Maison & Cuisine;1214.53;1476;En stock;3.6;2026-02-20;2.47;3660123639728
PROD-0233;Gourde Isotherme Zenith;Sports & Loisirs;651.6;184;En stock;4.9;2025-06-01;6.91;3660123352422
PROD-0234;Friteuse sans Huile Zenith;Maison & Cuisine;72.76;576;En stock;4.0;2026-06-22;12.66;3660123805188
